epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
99,1619.63,0.83798,1.20982,1.94446,0.83294,0,0.96669,0.90246,0.9655,0.7534,0.87348,0.85675,0.89475,0.52309,0.73178,0.81739,1.84861,0.85659,0,0.0006766,0.0006766,0.0006766
100,1635.51,0.78673,1.09123,1.91768,0.8403,0,0.98043,0.9205,0.96631,0.78445,0.92871,0.83016,0.90821,0.5093,0.65304,0.83698,1.73845,0.843,0,0.0006733,0.0006733,0.0006733
101,1650.93,0.79654,1.06506,1.88901,0.83078,0,0.97712,0.91911,0.96074,0.76324,0.89088,0.87898,0.90461,0.50529,0.68306,0.79942,1.78278,0.84655,0,0.00067,0.00067,0.00067
102,1667.55,0.82179,1.04476,1.91113,0.83428,0,0.96937,0.92516,0.9601,0.75057,0.89907,0.85408,0.89707,0.50997,0.7245,0.77496,1.85146,0.85523,0,0.0006667,0.0006667,0.0006667
103,1682.94,0.84374,1.0787,1.9854,0.845,0,0.95287,0.92069,0.95825,0.7702,0.86886,0.81876,0.86928,0.48621,0.69329,0.76318,1.82368,0.84757,0,0.0006634,0.0006634,0.0006634
104,1698.92,0.80875,1.0299,1.92396,0.83675,0,0.94021,0.92582,0.95115,0.77355,0.86269,0.84395,0.87493,0.49762,0.66957,0.77661,1.8107,0.84035,0,0.0006601,0.0006601,0.0006601
105,1713.95,0.7956,1.04412,1.92152,0.84299,0,0.95973,0.92974,0.95638,0.76134,0.88728,0.85908,0.89797,0.51629,0.70546,0.80926,1.81986,0.84783,0,0.0006568,0.0006568,0.0006568
106,1729.82,0.78812,1.0114,1.90261,0.83884,0,0.96856,0.92287,0.9658,0.78583,0.89105,0.85673,0.9022,0.52711,0.67173,0.841,1.75984,0.8525,0,0.0006535,0.0006535,0.0006535
107,1747.03,0.80886,1.09394,1.90715,0.83687,0,0.96662,0.92441,0.96375,0.77002,0.89134,0.84749,0.88836,0.52394,0.70881,0.89961,1.82521,0.85063,0,0.0006502,0.0006502,0.0006502
108,1762.33,0.80498,1.02388,1.95859,0.84185,0,0.96183,0.9311,0.96461,0.74199,0.91172,0.88056,0.92069,0.52217,0.7681,0.87859,1.89835,0.86235,0,0.0006469,0.0006469,0.0006469
109,1778.54,0.79175,1.04411,1.91515,0.83807,0,0.97175,0.92004,0.97197,0.74321,0.90052,0.86106,0.89888,0.51381,0.74503,0.90455,1.87496,0.86562,0,0.0006436,0.0006436,0.0006436
110,1794.04,0.79752,1.07465,1.90848,0.84134,0,0.9753,0.91601,0.97119,0.74121,0.91949,0.84293,0.90019,0.51757,0.72558,0.88042,1.86097,0.86512,0,0.0006403,0.0006403,0.0006403
111,1809.67,0.7795,1.01202,1.91496,0.83653,0,0.96329,0.9205,0.97218,0.74556,0.90804,0.83282,0.89257,0.50748,0.71226,0.87799,1.82328,0.85545,0,0.000637,0.000637,0.000637
112,1826.41,0.79123,1.12524,1.87913,0.83148,0,0.95444,0.92919,0.97001,0.77858,0.87832,0.85196,0.89589,0.50597,0.67467,0.91599,1.75812,0.84924,0,0.0006337,0.0006337,0.0006337
