epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,7023.62,0.73038,0.9898,1.97398,0.9037,0,0.8773,0.8843,0.90352,0.77827,0.86737,0.87437,0.89424,0.68436,0.88789,1.26367,2.31086,0.97236,0,0.00065845,0.00065845,0.00065845
71,7123.95,0.73118,1.01279,1.98456,0.90656,0,0.87687,0.84827,0.89375,0.75828,0.86201,0.82921,0.87121,0.6579,0.91858,1.33686,2.47607,0.97941,0,0.0006535,0.0006535,0.0006535
72,7225.36,0.73195,1.0035,1.99648,0.90743,0,0.86987,0.87602,0.90554,0.77249,0.86505,0.86014,0.88777,0.6719,0.92247,1.30483,2.40721,0.98437,0,0.00064855,0.00064855,0.00064855
73,7325.4,0.72806,1.02432,1.98018,0.90624,0,0.85268,0.88811,0.89487,0.76961,0.8384,0.87108,0.87903,0.67273,0.87533,1.25487,2.38684,0.97697,0,0.0006436,0.0006436,0.0006436
74,7423.95,0.71361,0.98899,1.92723,0.90689,0,0.88432,0.87333,0.90382,0.7743,0.87308,0.8569,0.88799,0.68054,0.89487,1.26137,2.35506,0.97639,0,0.00063865,0.00063865,0.00063865
75,7524.41,0.71876,0.97892,1.94751,0.90214,0,0.88905,0.87852,0.91023,0.77626,0.86855,0.85497,0.88997,0.67355,0.90998,1.26524,2.4527,0.97303,0,0.0006337,0.0006337,0.0006337
76,7624.58,0.71576,0.98672,1.94766,0.90544,0,0.86887,0.88882,0.91118,0.77889,0.87925,0.84918,0.89291,0.68528,0.89517,1.26642,2.43605,0.98343,0,0.00062875,0.00062875,0.00062875
77,7724.65,0.71825,0.97515,1.96149,0.90187,0,0.87663,0.88138,0.9007,0.76865,0.8629,0.8643,0.88549,0.6714,0.90183,1.32251,2.428,0.98587,0,0.0006238,0.0006238,0.0006238
78,7826.44,0.73207,1.02476,1.99391,0.91058,0,0.86428,0.89549,0.9004,0.76963,0.86081,0.86938,0.89338,0.67358,0.91452,1.31103,2.35138,0.98895,0,0.00061885,0.00061885,0.00061885
79,7927.65,0.7168,1.00131,1.94539,0.90308,0,0.88635,0.86781,0.90388,0.77311,0.87242,0.83659,0.88218,0.67375,0.8892,1.28707,2.34191,0.97266,0,0.0006139,0.0006139,0.0006139
