epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,5136.01,0.81976,1.14024,2.19982,0.92415,0,0.87389,0.87782,0.89191,0.75207,0.86986,0.86292,0.88397,0.66521,0.94508,1.28233,2.43368,1.00491,0,0.0006436,0.0006436,0.0006436
74,5206.48,0.80068,1.10907,2.16196,0.92179,0,0.85695,0.86347,0.89089,0.7625,0.84758,0.84173,0.87579,0.66613,0.89402,1.25464,2.44447,0.99609,0,0.00063865,0.00063865,0.00063865
75,5272.95,0.81724,1.13277,2.22089,0.92605,0,0.83323,0.84327,0.86651,0.73352,0.81537,0.82347,0.84731,0.63042,0.93015,1.41457,2.62598,0.9957,0,0.0006337,0.0006337,0.0006337
76,5342.39,0.81382,1.12665,2.2181,0.92856,0,0.86343,0.85874,0.88963,0.75418,0.85554,0.84111,0.8706,0.65853,0.92712,1.33391,2.4955,0.99147,0,0.00062875,0.00062875,0.00062875
77,5410.6,0.80673,1.11846,2.20174,0.92072,0,0.86725,0.88029,0.89382,0.76229,0.85392,0.84954,0.87191,0.66564,0.91799,1.35285,2.5088,0.99637,0,0.0006238,0.0006238,0.0006238
78,5480.47,0.80847,1.10797,2.20983,0.92614,0,0.87827,0.87496,0.89785,0.76926,0.87938,0.85822,0.89303,0.67303,0.88325,1.25466,2.46599,0.97845,0,0.00061885,0.00061885,0.00061885
79,5549.86,0.79544,1.11543,2.15137,0.91853,0,0.8431,0.87658,0.89767,0.76578,0.85066,0.84126,0.88001,0.67157,0.90213,1.20703,2.4786,0.98809,0,0.0006139,0.0006139,0.0006139
80,5619.22,0.81788,1.12404,2.22267,0.92597,0,0.87524,0.86232,0.90797,0.78001,0.8651,0.84409,0.8901,0.67781,0.88752,1.27792,2.45476,0.98299,0,0.00060895,0.00060895,0.00060895
81,5689.3,0.80539,1.08502,2.17804,0.92284,0,0.84156,0.87517,0.87564,0.74924,0.8234,0.85391,0.85361,0.64579,0.89914,1.28465,2.50165,0.99085,0,0.000604,0.000604,0.000604
82,5758.75,0.80141,1.12497,2.14506,0.92052,0,0.83292,0.86563,0.87235,0.74705,0.81298,0.84291,0.85259,0.64501,0.92603,1.28746,2.48115,0.99727,0,0.00059905,0.00059905,0.00059905
83,5828.25,0.79111,1.12783,2.12961,0.91575,0,0.85897,0.90241,0.9133,0.7763,0.84699,0.87225,0.89831,0.68417,0.90786,1.24621,2.38594,0.98804,0,0.0005941,0.0005941,0.0005941
84,5898.04,0.78974,1.09381,2.15272,0.92023,0,0.86042,0.87359,0.89154,0.75934,0.86503,0.85679,0.88431,0.65292,0.91003,1.2604,2.39622,0.99669,0,0.00058915,0.00058915,0.00058915
85,5966.97,0.78735,1.08925,2.1358,0.91627,0,0.86745,0.87763,0.89333,0.7622,0.85473,0.86331,0.87805,0.66313,0.89723,1.27745,2.46521,0.98716,0,0.0005842,0.0005842,0.0005842
86,6036.85,0.7868,1.10756,2.12489,0.91886,0,0.87291,0.85417,0.88735,0.75568,0.85847,0.83482,0.86547,0.6511,0.90395,1.32609,2.50268,0.9871,0,0.00057925,0.00057925,0.00057925
87,6105.33,0.78408,1.08615,2.09681,0.91062,0,0.89379,0.88836,0.89814,0.76482,0.87482,0.87014,0.88505,0.67368,0.90109,1.26301,2.47273,0.98626,0,0.0005743,0.0005743,0.0005743
